,url,link_text,tokens,token_values
94899313,www.stadt-zuerich.ch/fd/de/index/wohnen-und-gewerbe/portfolio/wohnbauten-gewerbebauten.html,Wohn- & Gewerbebauten,wohnsiedlung__mb__pdf__herunterlad__dokument__stadtkreis__iiwohnsiedlung__seiten__iwohnsiedlung__heiligfeld,0.27419787122372963__0.12982208410793925__0.10881869739726702__0.10733984055251031__0.10290372493978625__0.0608968425778769__0.05766265375745713__0.048956802610364__0.04805221146454761__0.047502710289320196
94869366,www.stadt-zuerich.ch/fd/de/index/wohnen-und-gewerbe/projekte.html,Bauprojekte,wohnsiedlung__visualisierung__baudokumentation__wohnung__gewerbe__bullingerhof__hard__birkenhof__hardau__letzi,0.21303949630451044__0.06364662950047817__0.05734369959976437__0.05634517490688611__0.04910268447306449__0.04538545013877021__0.0442971760144862__0.04416174891633417__0.03963363486757199__0.039403466256091986
94864257,www.stadt-zuerich.ch/fd/de/index/wohnen-und-gewerbe/stiftungen/einfach-wohnen.html,Stiftung Einfach Wohnen,stiftung__einfach__wohnbaustiftung__wohnen__gewerbe__sew__familienwohnung__stadt-zuerich.ch/einfachwohn__ökologisch__online-service,0.192722827960098__0.11131175145286026__0.10450564249380587__0.08652106594097761__0.08545389662172853__0.07160844541378307__0.0696704283292039__0.04570547555581389__0.04080586189520939__0.03738584158759126
94869369,www.stadt-zuerich.ch/fd/de/index/wohnen-und-gewerbe/stiftungen.html,Wohnbaustiftungen,stiftung__wohnbaustiftung__familienwohnung__gewerbe__einfach__gewerberäum__erhaltung__preisgünstig__wohnen__preisgünstige,0.22514537268483753__0.20660885642453572__0.13773923761635715__0.06335375094369529__0.06287560344792106__0.06049951151069591__0.05601039793827789__0.05518571985835687__0.051315942558097065__0.0451801252620689
94864255,www.stadt-zuerich.ch/fd/de/index/wohnen-und-gewerbe/stiftungen/kinderreich.html,Stiftung Wohnungen für kinderreiche Familien,familienwohnung__stiftung__wohnbaustiftung__kinderreich__gewerbe__sfw__familie__wohnung__stadt-zuerich.ch/kinderreich__wohnungsbeihilfe,0.22428661954107354__0.2094935553324157__0.09612283694617436__0.08780376127678466__0.07859930598362196__0.07233689757213517__0.0710710499427851__0.06012830310919041__0.04203926093903737__0.0398720285944338
94913710,www.stadt-zuerich.ch/fd/de/index/wohnen-und-gewerbe/vermietungen/Erstvermietungen/haus-zum-kiel.html,Zum Inhalt,"kiel__gewerbe__erstvermietung__haus__bewerbe__wohnung__liegenschaft__3,5-zimmer-wohnungen__auszeichnet__barockstil",0.2480581761217935__0.13123276981194024__0.11564647921626166__0.10131603752359206__0.09097351389423136__0.08366065983198367__0.06973500561973925__0.04679370116428565__0.04679370116428565__0.04679370116428565
94866979,www.stadt-zuerich.ch/fd/de/index/wohnen-und-gewerbe/vermietungen/Erstvermietungen.html,Zurück zu Erstvermietungen,erstvermietung__kiel__vermietung__erstvermietungsbericht__haus__liegenschaft__wohnung__stadt-zuerich.ch/erstvermietung__vermietungsbeginn__bestandesliegenschafte,0.21118052726447784__0.18873991661440812__0.10602416911884786__0.08544936734347813__0.0770882894201244__0.04775331906569101__0.04583149190795628__0.04272468367173907__0.04272468367173907__0.04052211601716913
94866973,www.stadt-zuerich.ch/fd/de/index/wohnen-und-gewerbe/vermietungen/faq.html,Zum Inhalt,wohnung__mietreglement__einkommen__steuerbar__untervermietung__unterbelegt__mietzin__vermietungsverordnung__franken__wg,0.14405392285750987__0.09154489964650989__0.0867412752535356__0.0573742213500739__0.0413078634191641__0.0413078634191641__0.03924650503918522__0.038479938678172954__0.037846191855858996__0.03747091370080132
94862025,www.stadt-zuerich.ch/fd/de/index/wohnen-und-gewerbe/vermietungen.html,Vermietungen,frei__mietbedingung__vermietungsprozess__erstvermietung__vermietung__wohnung__lagerflächen__vermieten__mieter*inn__krajcir,0.0803171755007923__0.07432417497796306__0.07263232697228587__0.07116706413308412__0.06431356192703738__0.06178017956823411__0.06145112099306967__0.06075603141821877__0.056688704220159536__0.0557431312334723
94866971,www.stadt-zuerich.ch/fd/de/index/wohnen-und-gewerbe/vermietungen/mietbedingungen.html,Mietbedingungen,wohnung__mietreglement__einkommen__mieter*inn__steuerbar__mietbedingung__gelten__franken__mietzin__untervermietung,0.16400222697518388__0.10797384429719042__0.09743632941742933__0.06621399407745587__0.06214663949537926__0.05524445678058631__0.04773624042751417__0.041449749913546385__0.03967698012362902__0.03480079041847897
94866972,www.stadt-zuerich.ch/fd/de/index/wohnen-und-gewerbe/vermietungen/vermietungsprozess.html,Vermietungsprozess,e-vermietung__vermietungsprozess__gewerbe__besichtigung__bewerben__mietbedingung__erstvermietung__mietobjekt__vermietung__wohnung,0.13166417837605607__0.10533134270084485__0.05855804868102513__0.05684554800719388__0.05463007202520119__0.05389242966529592__0.051603209849487276__0.050666232969499785__0.046633738130361764__0.04479678359130919
94897785,www.stadt-zuerich.ch/fd/de/index/wohnen-und-gewerbe/wohnbaufoerderung/auskaufsgesuch.html,Zum Inhalt,auskaufsgesuch__rückzahlung__ziff__gesuch__mieterin__mutationsmeldung__mieter__mieterschaft__kontaktperson__wohnbauförderung,0.15052446600579422__0.1432408429763037__0.08601398057473955__0.07631752955326092__0.0742000846602048__0.06451048543105466__0.06271129005503495__0.05166147594737845__0.049597847924766916__0.048886602180469446
94864254,www.stadt-zuerich.ch/fd/de/index/wohnen-und-gewerbe/wohnbaufoerderung.html,subventionierter Wohnraum bei Baugenossenschaften,wohnung__wohnbauförderung__mutationsmeldung__auskaufsgesuch__gemeinnützig__mietzinsreglement__kostenmiete__reglement__subventioniert__einkommen,0.08047847522487757__0.07534601740289124__0.05681496058413267__0.05681496058413267__0.05484186286588377__0.04574275673103756__0.04510119214741733__0.043738414729881554__0.038381285203451125__0.034152529370444565
94897783,www.stadt-zuerich.ch/fd/de/index/wohnen-und-gewerbe/wohnbaufoerderung/leitfaden-vermietung.html,Leitfaden Vermietung,wohnbauträgerschaft__gemeinnützig__zweckentfremdung__verbilligungsaufhebung__etappenkontrolle__auskauf__wohnung__wohnbauförderung__subventionsrückzahlung__wohnen,0.1730763439029632__0.09546609373976082__0.09368879713066075__0.059620143628602296__0.05110298025308768__0.05110298025308768__0.0487280289552269__0.045620433381846535__0.04258581687757307__0.04192006575168492
94897784,www.stadt-zuerich.ch/fd/de/index/wohnen-und-gewerbe/wohnbaufoerderung/mutationsmeldung.html,Mutationsmeldung,mutationsmeldung__mieterin__mietpartei__mieter__kontaktperson__wohnbauförderung__gewerbe__wohnung__wohnbauträgerschaft__auskaufsgesuch,0.20353491374095878__0.08778984375548038__0.08193482799075956__0.07419687431419886__0.058681702856042905__0.057840192323412566__0.05383908505105241__0.05148348297352842__0.050883728435239695__0.050883728435239695
94871591,www.stadt-zuerich.ch/fd/de/index/wohnen-und-gewerbe/zwischennutzungen/grundsaetze.html,"Zwischennutzungen in städtischen Liegenschaften Mittwoch, 23. November 2022 Strategische Grundsätze der Überlassung und Bewirtschaftung. Weiter zum Artikel: Zwischennutzungen in städtischen Liegenschaften",zwischennutzung__zwischennutzunge__liegenschaft__überlassung__städtisch__bewirtschaftung__grundsatz__organisationseinheitenimmobilien__gewerbe__strategisch,0.19462375361258047__0.12633004445706403__0.11637894977598869__0.08754359939705979__0.06798505671922833__0.05777804852874286__0.05085617137025795__0.049377942696418015__0.04866910668522287__0.0484792988708543
94869368,www.stadt-zuerich.ch/fd/de/index/wohnen-und-gewerbe/zwischennutzungen.html,stadt-zuerich.ch/zwischennutzungen,zwischennutzung__zwischennutzunge__z.__b.__liegenschaft__günstiger__vergabe__gewerbe__günstig__stadt,0.08270596659146243__0.05964927052225351__0.05100344490658101__0.04987543982741942__0.04396052887098009__0.04196661921477929__0.03638576560963469__0.027576116733465866__0.02752214104149307__0.026169414195057264
94864370,www.stadt-zuerich.ch/fd.html,Finanzdepartement,artikel__informatiktag__digisport__persönlich-kolumne__altersrücktritt__aa+__digi+__finanzdepartement__mittwoch__steuer,0.1211346940751594__0.05615204771194208__0.054220613776364654__0.053549829903860036__0.05339589282299431__0.052643126486544956__0.052643126486544956__0.05105070999093217__0.04784016822948966__0.04500087711552167
94882261,www.stadt-zuerich.ch/fsv,Zum Inhalt,viventa__fachschule__durchführung__hauswirtschaftlich__organisation__kreisschulbehörd__schulgesundheitsdienste__elternbildung__fachfrau__fachmann,0.1095980175161124__0.0786238854764506__0.05345377682910141__0.047303259893228575__0.036122882360491736__0.03022845566234152__0.028282445082263557__0.028120669477229694__0.027810630135892068__0.027661883631203213
94900728,www.stadt-zuerich.ch/gemeinderat,Zum Inhalt,gemeinderat__partei__sicherheitskontroll__mitverfolgen__gemeinderatsmitglieder__gemeinderatsmandat__parlamentsdienst__stimmberechtigten__tribün__fraktion,0.06642296854372802__0.04424569800561677__0.023227630364981683__0.023227630364981683__0.023227630364981683__0.023227630364981683__0.022332024602068644__0.022332024602068644__0.022332024602068644__0.02163747330657389
94864885,www.stadt-zuerich.ch/geodaten,Geoportal,ogd__datensatz__kantonal__orthofoto__historischer__übersichtsplan__kantonaler__digitales__jahresendstand__vermessungsdater,0.35118979811736073__0.2823659674555661__0.26523887486067077__0.06852755104131206__0.06348165838117595__0.059074313607454285__0.057630971663362236__0.04447619134952882__0.04428842060314326__0.04356481991010734
94902058,www.stadt-zuerich.ch/geodaten/download/10,Amphibienzugstellen (OGD) (kantonaler Datensatz),amphibienzughstellen__amphibienzugstellen__karch-datenbankauszug__anzeigenamphibienzugstellen__reptilienschutz__karch__zugstelle__koordinationsstelle__ogd__fauna,0.14293348719272705__0.14293348719272705__0.14293348719272705__0.14293348719272705__0.1355648972210749__0.1355648972210749__0.1355648972210749__0.1262841623892767__0.11171291826685686__0.11039104099602762
94902061,www.stadt-zuerich.ch/geodaten/download/10016,Amtliche Vermessung - Datenmodell ZH (Standard) (OGD) (kantonaler Datensatz),av-dat__datenmodell__zh__vermessung__av__höhen__nachführungsstell__baueingaben__grundbuch__projektiert,0.16381200309929758__0.11035736717336024__0.10186346139718086__0.09966534519826123__0.08020695041165034__0.06762811223833995__0.06762811223833995__0.06762811223833995__0.057278370328127534__0.050760991583931984
94902060,www.stadt-zuerich.ch/geodaten/download/10017,Amtliche Vermessung - Datenmodell MOpublic (OGD) (kantonaler Datensatz),av-dat__datenmodell__vermessung__av__nachführungsstell__baueingaben__höhen__zh__mopublic__grundbuch,0.16858322649053925__0.113571659421128__0.1025682193302494__0.0825430751809217__0.06959786308023334__0.06959786308023334__0.06959786308023334__0.06289821499864759__0.059789575782381976__0.0589466723765196
94902059,www.stadt-zuerich.ch/geodaten/download/10018,Amtliche Vermessung - Datenmodell CH (OGD) (kantonaler Datensatz),av-dat__datenmodell__vermessung__av__nachführungsstell__höhen__baueingaben__zh__grundbuch__projektiert,0.16858322649053925__0.113571659421128__0.1025682193302494__0.0825430751809217__0.06959786308023334__0.06959786308023334__0.06959786308023334__0.06289821499864759__0.0589466723765196__0.05223946706695913
94902344,www.stadt-zuerich.ch/geodaten/download/10100,ÖREB-Kataster - Nutzungsplanung (OGD) (kantonaler Datensatz),öreb-system__nutzungsplanung__öreb-kataster__lärmempfindlichkeitaktualisierung__nutzungsplanung_zh_transfer_v4.iliinhalt__dateninhalt__überlagernd__usw.__datenmodel__katasterbearbeiterorganisation,0.1792144974316009__0.14167988319145863__0.13905547275836036__0.09826677244499987__0.09826677244499987__0.095777396219347__0.09320086683948901__0.09168313234447378__0.08960724871580045__0.08960724871580045
94902343,www.stadt-zuerich.ch/geodaten/download/10101,ÖREB-Kataster - Grundwasser (OGD) (kantonaler Datensatz),öreb-system__öreb-kataster__grundwasser__grundwasser_zh_transfer_v4.ili__grundwasserschutzzonenaktualisierung__dateninhalt__grundwasserschutzareale__datenmodel__inkraftsetzungsprozess__katasterbearbeiterorganisation,0.1911621305937076__0.1483258376089177__0.13846351928095785__0.10481789060799986__0.10481789060799986__0.10216255596730348__0.0955810652968538__0.0955810652968538__0.0955810652968538__0.0955810652968538
94902342,www.stadt-zuerich.ch/geodaten/download/10102,ÖREB-Kataster - Abstandslinien (OGD) (kantonaler Datensatz),öreb-system__abstandslinien__öreb-kataster__abstandslinien_zh_transfer_v4.iliinhalt__dateninhalt__waldgrenz__gewässerabstandslinie__usw.__inkraftsetzungsprozess__katasterbearbeiterorganisation,0.1792144974316009__0.1792144974316009__0.13905547275836036__0.09826677244499987__0.095777396219347__0.09320086683948901__0.09320086683948901__0.09168313234447378__0.08960724871580045__0.08960724871580045
94902461,www.stadt-zuerich.ch/geodaten/download/102,Strassennetz (OGD) (kantonaler Datensatz),kilometrierung__staatsstrasse__autostrassen__verkehrsmodell__strasseninformationssystem__strassennetz__logo__autobahn__kantonspolizei__stabil,0.27680780970422497__0.21003012245518649__0.11072312388168999__0.10501506122759324__0.10501506122759324__0.08438953290579629__0.07638074421098684__0.07521175999859021__0.07219822376279247__0.06496947970047408
94902402,www.stadt-zuerich.ch/geodaten/download/103,Raster-Übersichtsplan (OGD) (kantonaler Datensatz),raster-übersichtsplan__anzeigenraster-übersichtsplan__http://geolion.zh.ch/geodatenservice/850__dateninhalt__hintergrundinformation__13.04.2023achtung__basiskarte__rahmenblätter__nachgeführt__ogd,0.20481656849325813__0.11230488279428555__0.11230488279428555__0.10945988139353942__0.10651527638798743__0.10651527638798743__0.09662142747135198__0.09662142747135198__0.09442202506397163__0.08777443578110182
94902308,www.stadt-zuerich.ch/geodaten/download/108,Linien des öffentlichen Verkehrs (OGD) (kantonaler Datensatz),linie__anzeigenlinie__diva__exportfil__s-bahnlinien__geographisch__liniendat__ogd__aktualisiern__vbz,0.21830892367185967__0.14558040362222202__0.14558040362222202__0.14558040362222202__0.14558040362222202__0.12524999857397479__0.11992968215019728__0.1137816760125394__0.11243531953299109__0.11032152788138429
94902130,www.stadt-zuerich.ch/geodaten/download/109,Betriebliche Bestandeskarten (OGD) (kantonaler Datensatz),bestandeskart__betrieblich__betriebsplanrevision__forstl.):baumkollektiv__anzeigenbetriebliche__gis-ebene__zusammenzug__ogd__vorgeschrieben__merkmal,0.42094720796425567__0.13309598033510076__0.11911123932727256__0.11911123932727256__0.11911123932727256__0.11911123932727256__0.10861484692824296__0.09309409855571406__0.08966274418777784__0.0886203100028499
94902478,www.stadt-zuerich.ch/geodaten/download/110,Vegetationskundliche Kartierung der Wälder (Waldvegetationskarte) (OGD) (kantonaler Datensatz),waldgesellschaft__fläche__m2__wald__vegetationskart__waldvegetationskart__potentiell__kartierung__natürlich__<,0.13235626060045777__0.10329256028119947__0.1022251068222596__0.09940280158618621__0.09303363071715963__0.08823750706697184__0.07524984896653518__0.07524984896653518__0.0711495350445156__0.0466157817121242
94902495,www.stadt-zuerich.ch/geodaten/download/111,Waldareal (OGD) (kantonaler Datensatz),waldareal__geodatensatz__m2__<__nachgewiesenermassen__rodung__rodungsersatz__kantonsgrenz__statischen__durchgangsstrasse,0.22734453522671053__0.08069172483490837__0.07258841618891544__0.06620224461637807__0.06606169576134444__0.06606169576134444__0.06606169576134444__0.06606169576134444__0.06606169576134444__0.06606169576134444
94902386,www.stadt-zuerich.ch/geodaten/download/112,Pflegeplan und NHG-Beitragsflächen (OGD) (kantonaler Datensatz),nhg-beitragsfläche__pflegeplan__naturschutzgebiet__dargestellt__wald__direktzahlungsverordnung__forstrechtlich__schutzzielkonform__planlich__naturschutzbeitrag,0.1147087591870634__0.1147087591870634__0.10685582971400337__0.08707675545006294__0.06461182103102103__0.060471859966153764__0.060471859966153764__0.060471859966153764__0.060471859966153764__0.060471859966153764
94902266,www.stadt-zuerich.ch/geodaten/download/113,Inventar der Waldstandorte von naturkundlicher Bedeutung (WNB) (OGD) (kantonaler Datensatz),selten__wnb__waldgesellschaft__naturkundlich__inventar__naturwerte__z.b.__teilfläch__waldstandorte__bedeutung,0.24817067039970628__0.14195207717354524__0.1107337031756305__0.10315290492193394__0.09096981554950584__0.0778350672831682__0.07769353793804212__0.07382246878375366__0.07097603858677262__0.07086084495818781
94902085,www.stadt-zuerich.ch/geodaten/download/119,Arten der Feuchtgebietskartierung (1976 / 1977) (OGD) (kantonaler Datensatz),beobachtung__feuchtgebietskartierung__4th-dimension-datenbank__feuchtgebiete__objekt__bis-datenbank__datensatz)1979__nachkartierung__kartierungsflächen__kartierungsfläche,0.17943605118513217__0.16945612152634365__0.16292227039236443__0.16292227039236443__0.09228710132515379__0.08933342949545442__0.08933342949545442__0.08933342949545442__0.08933342949545442__0.08933342949545442
94902127,www.stadt-zuerich.ch/geodaten/download/124,Beleuchtung (OGD) (kantonaler Datensatz),strassendatenbank__anzeigenbeleuchtung__punktdatensatz__beleuchtungsdaten__dateninhalt__hochleistungsstrasse__glattalbahn__kandelaber__kantonsstrass__kt,0.11560796758235278__0.11560796758235278__0.11560796758235278__0.11560796758235278__0.11267928966981999__0.10964807863469295__0.10542029260682403__0.10214160193250321__0.10214160193250321__0.09350900349517975
94902086,www.stadt-zuerich.ch/geodaten/download/125,Arten der Trockenstandorte TWW (1974 / 1976) (OGD) (kantonaler Datensatz),trockenstandorte__gis-datensatz__beobachtung__ablegen__trockenstandort__tww__4th-dimension-datenbank__beobachtungspunkt__objekt__pflanzenfund,0.5422595888842996__0.2144002307890906__0.19139845459747432__0.1679543537886912__0.14293348719272705__0.1355648972210749__0.13033781631389155__0.12297272587262978__0.07382968106012303__0.07146674359636353
94902264,www.stadt-zuerich.ch/geodaten/download/127,Inventar der Natur- und Landschaftsschutzgebiete von überkommunaler Bedeutung (OGD) (kantonaler Datensatz),inventar__überkommunal__trockenwiese__kiesgrube__landschaftsschutzgebiete__objekt__begriff__bedeutung__richtplan__naturschutz-objekt,0.13432677442251592__0.0959174154629666__0.09194551807719285__0.09194551807719285__0.07910526225724723__0.07123916593520643__0.06505519193373582__0.06278022228751727__0.04749277729013762__0.04597275903859643
94902325,www.stadt-zuerich.ch/geodaten/download/128,Normalisiertes Digitales Oberflächenmodell Vegetation (nDOM Veg) - 2014 (OGD) (kantonaler Datensatz),veg__ndom__vegetation__oberflächenmodell__digitales__hergeleiten__wnd__nategra__vegetationshöhe__fernerkundungsdate,0.19052112459139828__0.18618427477402857__0.1710283733741273__0.16877906581159258__0.14932411426681594__0.11072312388168999__0.11072312388168999__0.11072312388168999__0.11072312388168999__0.11072312388168999
94902302,www.stadt-zuerich.ch/geodaten/download/132,Libellen – Inventar (1984) (OGD) (kantonaler Datensatz),inventarfläch__inventar__libelleninventar__anzeigenlibell__beobachtungsdaten__4thdimension-datenbank__libelle__ausgeschied__kreisfläch__inventarflächen•,0.16297590175890697__0.1106982092831336__0.09471496139277095__0.09471496139277095__0.09471496139277095__0.08983216080914604__0.08983216080914604__0.08983216080914604__0.08983216080914604__0.08636843249715705
94902416,www.stadt-zuerich.ch/geodaten/download/133,Reptilien – Inventar (1993) (OGD) (kantonaler Datensatz),datenbank__inventar__punkt__teilobjektnummer__gis-flächendatensatz__dateneinträge__cscf-punktdatensatz__gemeindezuteilung__anzeigenreptilie__cscf,0.15388119854621612__0.09671527758421146__0.08764350303728745__0.08275096626947356__0.08275096626947356__0.08275096626947356__0.08275096626947356__0.08275096626947356__0.08275096626947356__0.07848494049641179
94902465,www.stadt-zuerich.ch/geodaten/download/134,Tagfalter - Inventar (1992) (OGD) (kantonaler Datensatz),naturobjekt__beobachtung__inventarfläch__zugeordnen__inventar__räumlich__anzeigentagfalter__eindeutigen__waldlichtunge__einzelbeobachtung,0.2124686971783781__0.18967414419569528__0.18279729521607133__0.10422692103410114__0.08277433667117197__0.07167362893875424__0.07082289905945936__0.07082289905945936__0.07082289905945936__0.07082289905945936
94902225,www.stadt-zuerich.ch/geodaten/download/136,Heuschrecken - Inventar (1990/98) (OGD) (kantonaler Datensatz),wolf__fläche__untersuchung__walter__bubikon__illnau-effretikon__hombrechtikon__kleinandelfing__inventarfläche__gis-punktdatensatz,0.14155634614449517__0.1335465560794087__0.10951066869328904__0.10423954487987251__0.08591630377704906__0.08591630377704906__0.08591630377704906__0.08591630377704906__0.0814870966902636__0.0739180319452966
94902223,www.stadt-zuerich.ch/geodaten/download/140,Haltestellen des öffentlichen Verkehrs (OGD) (kantonaler Datensatz),anzeigenhaltestelle__dateninhalt__haltestelle__verkehrsbetrieben__ogd__jahre__gis-zentrum__esri__verkehr__metadat,0.11560796758235278__0.11267928966981999__0.10662586645760674__0.09350900349517975__0.09035603683348717__0.08928687139384586__0.08108265794149659__0.07954292744033768__0.0754890551056394__0.07205732193906603
94902403,www.stadt-zuerich.ch/geodaten/download/142,Räumliche Beschäftigtenstatistik (OGD) (kantonaler Datensatz),beschäftigtenstatistik__räumlich__31.12.2020achtung__dateninhalt__metadat__anzeigenräumliche__vollzeitäquivalenter__aufgelöst__ogd__beschäftigter,0.2330021670987225__0.12430895019065188__0.12283346555624983__0.11972174527418375__0.11484135684038649__0.11200906089475055__0.11200906089475055__0.10852545205328466__0.09600328913558012__0.08542644814670464
94902347,www.stadt-zuerich.ch/geodaten/download/143,ÖREB-Kataster - vereinfachtes Datenmodell ZH - Grundwasserschutzzonen (OGD) (kantonaler Datensatz),grundwasserfassung__grundwasser__zone__grundwasserschutzzonen__grundwasserschutzzon__unmittelbar__datenmodell__vereinfacht__unterirdisch__zh,0.18640173367897803__0.1730793991011973__0.15020564450750112__0.124267822452652__0.124267822452652__0.10348370693347575__0.09748234100313488__0.08900058266499841__0.07536632088326412__0.07198351272067448
94902341,www.stadt-zuerich.ch/geodaten/download/144,ÖREB - Kataster der belasteten Standorte (KbS) (OGD) (kantonaler Datensatz),kbs__kataster__belasten__anzeigenöreb__dateninhalt__32c__schüttung__ablagerungsstandorten__altlasten-verordnung__art.5,0.2757146114332321__0.24456200914123938__0.2244661655496954__0.10078643327692294__0.09823322689163795__0.09559063265588616__0.09559063265588616__0.09559063265588616__0.09559063265588616__0.09559063265588616
94902346,www.stadt-zuerich.ch/geodaten/download/149,ÖREB-Kataster - vereinfachtes Datenmodell ZH - Grundwasserschutzareale (OGD) (kantonaler Datensatz),grundwasserschutzareale__zukünftig__datenmodell__zone__festgesetzen__vereinfacht__zh__fassungsbereichzukünftig__engere__grundwasserbewirtschaftung,0.2757146114332321__0.20768681023852645__0.14997283231251518__0.13865136416077029__0.13692397333076678__0.13692397333076678__0.11074386572411457__0.10078643327692294__0.10078643327692294__0.10078643327692294
94902352,www.stadt-zuerich.ch/geodaten/download/150,ÖREB-Kataster - vereinfachtes Datenmodell ZH - Statische Waldgrenzen (OGD) (kantonaler Datensatz),waldgrenze__nutzungspläne__wald__datenmodell__vereinfacht__statisch__zh__enstprechend__waldfeststellung__waldfeststellungsverfahr,0.3496868242567822__0.1748434121283911__0.15365006220791588__0.14265708439483155__0.13024475511950986__0.1250261923697138__0.10534172593269436__0.09587002189756084__0.09587002189756084__0.09587002189756084
94902354,www.stadt-zuerich.ch/geodaten/download/152,ÖREB-Kataster - vereinfachtes Datenmodell ZH - Waldabstandslinien (OGD) (kantonaler Datensatz),waldabstandslinien__waldgrenze__datenmodell__vereinfacht__zh__bauzonengebiet__waldparzelle__waldabstandslinie__festzusetzen__sin,0.31099831036165154__0.21398745961982193__0.174595237617555__0.1594040286537285__0.1289256944250886__0.11733345963582073__0.11733345963582073__0.10699372980991097__0.10366610345388386__0.09490466026376453
94902345,www.stadt-zuerich.ch/geodaten/download/153,ÖREB-Kataster - vereinfachtes Datenmodell ZH - Gewässerabstandslinien (OGD) (kantonaler Datensatz),gewässerabstandslinien__datenmodell__vereinfacht__zh__kantonalrechtlich__nachbargrundstücke__grenzabstand__mindestabstand__abweich__ogd,0.34158830810214186__0.19176853967829813__0.17508311343934113__0.1416069102701793__0.1288744556655736__0.1288744556655736__0.11751770323383665__0.11386276936738064__0.10616725960837137__0.1007247623717562
94902350,www.stadt-zuerich.ch/geodaten/download/154,ÖREB-Kataster - vereinfachtes Datenmodell ZH - Lärmempfindlichkeitsstufen (in Nutzungszonen) (OGD) (kantonaler Datensatz),nutzungszon__lärmempfindlichkeitsstuf__empfindlichkeitsstufen__datenmodell__erfassen__vereinfacht__stufe__zh__ii__aufgestuft,0.3121630980409087__0.25132818024131864__0.17665936619325817__0.13143686427388973__0.12612870402364992__0.12000078561572819__0.10638853228316843__0.09705642164585322__0.09582474985159706__0.08832968309662909
94902353,www.stadt-zuerich.ch/geodaten/download/155,ÖREB-Kataster - vereinfachtes Datenmodell ZH - Überlagernde Festlegungen (OGD) (kantonaler Datensatz),festlegungen__überlagernde__aussichtsschutz__datenmodell__vereinfacht__zh__planungszone__nutzungsplaninhalte__terrassenhausbauvorschriften__zonenflächen,0.19621235124102948__0.19621235124102948__0.18277970872132152__0.1539194857944235__0.1405272357868396__0.11365817798001232__0.10343870783684195__0.10343870783684195__0.10343870783684195__0.10343870783684195
94902351,www.stadt-zuerich.ch/geodaten/download/156,ÖREB-Kataster - vereinfachtes Datenmodell ZH - Nutzungsplanung (Grundnutzung) (OGD) (kantonaler Datensatz),rahmennutzungsplan__grundnutzung__nutzung__ordnen__datenmodell__nutzungsplanung__mass__vereinfacht__pbg__zonenordnung,0.13438191103589725__0.11298361973466692__0.10703292435123178__0.09998188820834347__0.09998188820834347__0.09687513380612557__0.09197718133156908__0.09128264888717787__0.08207107055858202__0.07885184715784035
94902348,www.stadt-zuerich.ch/geodaten/download/157,ÖREB-Kataster - vereinfachtes Datenmodell ZH - Kantonale Verkehrsbaulinien (OGD) (kantonaler Datensatz),verkehrsbaulini__datenmodell__vereinfacht__zh__kantonal__grundsätzlich__sichernd__strassenbegleitend__strassengebiet__strassenraumsicherung,0.38162796326429776__0.1285481419821559__0.11736340571208582__0.09492331347781251__0.0855131926220286__0.0832852451136275__0.08193482799075957__0.08193482799075957__0.08193482799075957__0.08193482799075957
94902349,www.stadt-zuerich.ch/geodaten/download/158,ÖREB-Kataster - vereinfachtes Datenmodell ZH - Kommunale Verkehrsbaulinien (OGD) (kantonaler Datensatz),verkehrsbaulini__datenmodell__vereinfacht__zh__verkehrsbaulinien__grundsätzlich__gehweg__strassenraumsicherung__sichernd__radfahreranlag,0.22897677795857863__0.1285481419821559__0.11736340571208582__0.09492331347781251__0.08638837138021967__0.0832852451136275__0.08193482799075957__0.08193482799075957__0.08193482799075957__0.08193482799075957
94902493,www.stadt-zuerich.ch/geodaten/download/159,Verordnungen über den Schutz von Natur- und Landschaftsschutzgebieten (Altrechtlich) (OGD) (kantonaler Datensatz),altrechtlich__landschaftsschutzgebiete__schutzverordnungen__schutzgebiet__schutzverordnung__datensatz__kraft__teilgebiete__attribut__aussenperimeter,0.2542131444030006__0.2081076899382966__0.15608076745372243__0.11028584457329285__0.10685582971400337__0.09723219572729587__0.0909007743386422__0.08998369938750912__0.07745038807142944__0.060471859966153764
94902219,www.stadt-zuerich.ch/geodaten/download/167,Gewässerschutzbereiche (OGD) (kantonaler Datensatz),zuströmbereich__gewässerschutzbereiche__gewässerschutzbereich__gewässer__oberirdisch__umfasst__umfassen__stammen__14.12.2022achtung__anzeigengewässerschutzbereiche,0.16377795407499976__0.155334778065815__0.155334778065815__0.1424161233543769__0.12829846469969466__0.10257948513237858__0.09553412247786855__0.0894004205565771__0.08188897703749988__0.08188897703749988
94902104,www.stadt-zuerich.ch/geodaten/download/1670,Badeplätze (OGD) (kantonaler Datensatz),anzeigenbadeplätze__badeplatz__badeplätz__dateninhalt__23.10.2018achtung__ogd__esri__metadat__beschriebenstadt__downloadservice-schnittstellenwmswfs,0.15414395677647036__0.15414395677647036__0.15414395677647036__0.15023905289309333__0.1461974381795906__0.1204747157779829__0.10605723658711691__0.09607642925208804__0.08048678117038593__0.08048678117038593
