,url,link_text,tokens,token_values
94910400,data.stadt-zuerich.ch/dataset/geo_bauten___kombinierte_darstellung_heute,Bauten - Kombinierte Darstellung heute (3D),typ__3d-blockmodell__gebäude__epsg:2056__ch1903__lv95__3d-dachmodell__projektion__string__web,0.11428371266025797__0.06498217091321094__0.05766711139312704__0.0569568322088841__0.0569568322088841__0.05639000326028204__0.05600576877517282__0.053538956297480504__0.0518527704992321__0.047107360065681544
94910397,data.stadt-zuerich.ch/dataset/geo_bauten___kombinierte_darstellung_kurzfristige_zukunft,Bauten - Kombinierte Darstellung kurzfristige Zukunft (3D),typ__gebäude__ch1903__epsg:2056__3d-blockmodell__lv95__projektiert__projektion__string__3d-dachmodell,0.11169056520929588__0.060693897815830754__0.0556644567616809__0.0556644567616809__0.055569234891544445__0.0551104894099677__0.05232413395037397__0.05232413395037397__0.05067620844576492__0.04691569146297181
94910399,data.stadt-zuerich.ch/dataset/geo_bauten___kombinierte_darstellung_mittelfristige_zukunft,Bauten - Kombinierte Darstellung mittelfristige Zukunft (3D),gebäude__typ__geplant__string__ch1903__epsg:2056__3d-blockmodell__lv95__projektion__vorhanden,0.11297121287693604__0.10833118644016279__0.06152172842562508__0.05963775048426667__0.046791512019015144__0.046791512019015144__0.046711468566870466__0.04632584736505459__0.043983638484169946__0.04072182930148701
94910991,data.stadt-zuerich.ch/dataset/geo_brunnen,Daten & Ressourcen,typ__string__ch1903__projektion__brunnen__epsg:2056__lv95__web__map__integer,0.41630937616271985__0.3601459965669178__0.11987773061765138__0.11268408602925217__0.09856939960863825__0.08990829796323854__0.08901353917787978__0.07436057099373292__0.049573713995821944__0.04836381915381161
94910785,data.stadt-zuerich.ch/dataset/geo_kommunaler_richtplan_verkehr,Kommunaler Richtplan Verkehr,projektion__ch1903__epsg:2056__lv95__web__kategorie__richtplan__geodatenelemente__map__kommunaler,0.18395436266313817__0.14677337530750906__0.14677337530750906__0.14531270070918836__0.12139204324617937__0.09029509906851017__0.08676565081852065__0.08152066971374645__0.08092802883078624__0.07985784266955318
94909893,data.stadt-zuerich.ch/dataset/geo_oeffentlich_zugaengliche_parkhaeuser,Parkhäusern,projektion__epsg:2056__ch1903__lv95__web__geodatenelemente__map__zugänglich__oeffentlich_zugaengliche_parkhaeuser.json__+,0.16492460100833073__0.13158992268949088__0.13158992268949088__0.13028035235996197__0.10883424566898839__0.0730874969847382__0.0725561637793256__0.06793875079035015__0.06024016701609187__0.05966502087675679
94910783,data.stadt-zuerich.ch/dataset/geo_signalisierte_geschwindigkeiten,Signalisierte Geschwindigkeiten,projektion__ch1903__epsg:2056__lv95__web__geschwindigkeitsregime__temporegim__signalisiert__falls__geodatenelemente,0.14641265599719158__0.11681962524475209__0.11681962524475209__0.11565704750323152__0.09661815686940806__0.07378275971401449__0.06901530533667997__0.06889709757747037__0.06616552850494324__0.0648837983435941
94911286,data.stadt-zuerich.ch/dataset/geo_strassennamenverzeichnis,Daten & Ressourcen,projektion__ch1903__epsg:2056__lv95__web__strassenname__strassennamenbuch__geodatenelemente__map__strassennamenverzeichnis.json,0.13204086154347952__0.10535266816551263__0.10535266816551263__0.10430420848450943__0.08713416601106126__0.08609386769933218__0.06391683065714926__0.05851483654299592__0.058089444007374175__0.04822909077055208
94910784,data.stadt-zuerich.ch/dataset/geo_uebersicht_strassenlaermemissionsabschnitte_fuer_laermgutachten,Übersicht Strassenlärmemissionsabschnitte für Lärmgutachten (3D),typ__unknown__double__projektion__epsg:2056__ch1903__web__lv95__lsv__kategorie,0.4005204576001041__0.3319233202586662__0.17625444678608038__0.08369923501172785__0.06360179596658726__0.06360179596658726__0.06312386248801326__0.06296883697398162__0.055586169975176805__0.0547790267682295
94910408,data.stadt-zuerich.ch/dataset?groups=basiskarten&tags=3d-stadtmodell,Basis­karten (1),3d-blockmodell__kategorie__lod1__3d-stadtmodell__tag__lizenz__anzeig__3d__basis­karte__datensätz,0.15148549894587449__0.14521686035760398__0.10262886046392077__0.0884787667364062__0.08306732599148604__0.08181495248543155__0.08047623250676113__0.07952501501536326__0.07686669430060948__0.0762149826752437
